user_id,cluster_k4_a,assigned_perk,no_cancellation_fees,exclusive_discounts,free_hotel_meal,one_night_free_hotel_with_flight,free_checked_bag
23557,1,one_night_free_hotel_with_flight,0.027373661936768736,0.0,0.3639722334094062,0.40510415268268674,0.0
94883,1,one_night_free_hotel_with_flight,0.008925400381711062,0.0,0.160941625274086,0.315142412851837,0.10999999999999999
101486,1,one_night_free_hotel_with_flight,0.0735598705501618,0.0,0.2542326710520428,0.31311193896272427,0.27
101961,3,one_night_free_hotel_with_flight,0.06634304207119741,0.12091675135134068,0.40155697632791876,0.47117636377573185,0.15999999999999998
106907,2,free_checked_bag,0.37170193344950625,0.35,0.31170151474470853,0.3945744954580033,0.4425
118043,3,free_checked_bag,0.06753796365446851,0.0,0.41115530048776117,0.4405697632791874,0.445
120851,1,one_night_free_hotel_with_flight,0.013238735374657706,0.0,0.3287776323443863,0.37322934845840605,0.27
125845,3,one_night_free_hotel_with_flight,0.06262716786988633,0.20883803958339398,0.2249242068286571,0.35063988550226793,0.155
133058,1,one_night_free_hotel_with_flight,0.013388100572566591,0.0,0.0,0.25,0.02
149058,3,one_night_free_hotel_with_flight,0.07541780765081736,0.09619151616433633,0.43657957443952206,0.5037761982911326,0.42
152583,1,free_checked_bag,0.06694050286283296,0.0,0.16376555018570726,0.23574445115675483,0.32
153982,1,free_checked_bag,0.04402954111691976,0.0,0.227179543115407,0.3464075155501857,0.36
160754,1,free_checked_bag,0.015992863662766577,0.0,0.16408774108381438,0.23534171253412092,0.42
164522,0,exclusive_discounts,0.03339556883246204,0.387000568824625,0.3840982570367387,0.3814551002229059,0.16999999999999998
167852,1,one_night_free_hotel_with_flight,0.019708737864077674,0.0,0.0,0.25,0.0
171470,2,no_cancellation_fees,0.6267762011451331,0.4135835201100218,0.0,0.2520147553233829,0.10999999999999999
174997,2,no_cancellation_fees,0.3586125632727575,0.11666666666666665,0.18747426947688728,0.3201710520427798,0.1175
175032,1,one_night_free_hotel_with_flight,0.02602937515558875,0.0,0.2951786033919542,0.375992023537835,0.1175
181157,3,one_night_free_hotel_with_flight,0.06463447016845075,0.22096928469193544,0.26047819617845797,0.3453902416252144,0.195
182191,2,free_checked_bag,0.3284847730478798,0.35,0.0,0.25,0.365
187212,3,free_checked_bag,0.07095510745996184,0.0,0.21622505257976463,0.36010062871973864,0.41
189676,1,free_checked_bag,0.03339556883246204,0.0,0.3456554571083367,0.38980567861457915,0.41
190866,3,one_night_free_hotel_with_flight,0.08880590822338397,0.0,0.344834597485121,0.42746369758804315,0.15999999999999998
195192,1,one_night_free_hotel_with_flight,0.05942494398805079,0.0,0.127244988141585,0.24320070926746318,0.04
204943,2,one_night_free_hotel_with_flight,0.38389511243880176,0.169883045742388,0.47230556674273955,0.496953990781964,0.27999999999999997
204997,2,no_cancellation_fees,0.6995892457057505,0.31339177755488407,0.2732696223206694,0.4057441702530092,0.195
205044,3,free_checked_bag,0.04417890631482865,0.1460738382958376,0.33094179308184546,0.3314184822658506,0.395
206011,3,free_checked_bag,0.07095510745996184,0.11693531460370574,0.22814611580972838,0.3452987399008159,0.3675
216796,0,exclusive_discounts,0.33540287113102646,0.6418173525232473,0.3283424508882624,0.3832844906280658,0.19
217114,1,one_night_free_hotel_with_flight,0.009373495975437723,0.0,0.0,0.25,0.25
217136,1,one_night_free_hotel_with_flight,0.031537631731806494,0.0,0.22758703629122476,0.2700300935248579,0.27
220725,2,one_night_free_hotel_with_flight,0.3024909667247531,0.0875,0.2858350673468475,0.38767144359421846,0.1175
224996,1,free_checked_bag,0.030790805742262055,0.0,0.15012054190719112,0.21460626706045552,0.29
226367,3,one_night_free_hotel_with_flight,0.04588747821757531,0.14303310958158283,0.29269728598917083,0.30274522611603427,0.155
228195,1,one_night_free_hotel_with_flight,0.026328105551406522,0.0,0.0,0.25,0.25
228872,1,one_night_free_hotel_with_flight,0.04417890631482865,0.0,0.2691748333109589,0.38992034725019015,0.16999999999999998
229009,2,no_cancellation_fees,0.38139241556717285,0.11666666666666665,0.1898342059336824,0.29812390924956367,0.10999999999999999
229108,2,exclusive_discounts,0.3469330346029375,0.35,0.0,0.25,0.02
229330,3,one_night_free_hotel_with_flight,0.056007800182557466,0.0,0.3077549559224952,0.35975074954132547,0.16142857142857142
232647,1,one_night_free_hotel_with_flight,0.03444112521782425,0.0,0.3387655501857073,0.36074445115675485,0.16999999999999998
249521,1,free_checked_bag,0.0338436644261887,0.0,0.18725667874882534,0.301345818230635,0.42
252835,3,free_checked_bag,0.06143224628661523,0.22870343569009394,0.3298899181098134,0.4093120252750066,0.44
